[1, 0, 0]	14.09
[1, 0, 11]	11.74
[1, 0, 14]	12.32
[1, 0, 17]	11.97
[1, 0, 20]	11.94
[1, 0, 23]	13.96
[1, 0, 3]	15.44
[1, 0, 6]	13.08
[1, 0, 9]	11.9
[1, 1, 10]	12.3
[1, 1, 13]	12.3
[1, 1, 16]	12.65
[1, 1, 19]	11.3
[1, 1, 22]	12.59
[1, 1, 2]	13.6
[1, 1, 5]	14.45
[1, 1, 8]	11.54
[1, 2, 12]	12.37
[1, 2, 15]	12.79
[1, 2, 18]	11.9
[1, 2, 1]	13.35
[1, 2, 21]	12.28
[1, 2, 4]	15.52
[1, 2, 7]	11.28
[1, 3, 0]	13.23
[1, 3, 11]	12.45
[1, 3, 14]	13.25
[1, 3, 17]	12.46
[1, 3, 20]	12.3
[1, 3, 23]	13.16
[1, 3, 3]	14.23
[1, 3, 6]	11.62
[1, 3, 9]	20.91
[1, 4, 10]	12.35
[1, 4, 13]	12.74
[1, 4, 16]	12.95
[1, 4, 19]	11.41
[1, 4, 22]	12.32
[1, 4, 2]	12.46
[1, 4, 5]	15.71
[1, 4, 8]	11.77
[1, 5, 12]	10.79
[1, 5, 15]	11.75
[1, 5, 18]	11.33
[1, 5, 1]	11.89
[1, 5, 21]	11.7
[1, 5, 4]	13.84
[1, 5, 7]	12.6
[1, 6, 0]	12.34
[1, 6, 11]	11.01
[1, 6, 14]	12.54
[1, 6, 17]	12.94
[1, 6, 20]	12.66
[1, 6, 23]	14.31
[1, 6, 3]	12.92
[1, 6, 6]	16.3
[1, 6, 9]	11.11
[2, 0, 12]	12.18
[2, 0, 15]	12.45
[2, 0, 18]	11.57
[2, 0, 1]	12.83
[2, 0, 21]	12.65
[2, 0, 4]	16.16
[2, 0, 7]	11.71
[2, 1, 0]	13.85
[2, 1, 11]	12.34
[2, 1, 14]	12.83
[2, 1, 17]	12.03
[2, 1, 20]	11.82
[2, 1, 23]	13.21
[2, 1, 3]	13.9
[2, 1, 6]	11.51
[2, 1, 9]	11.94
[2, 2, 10]	12.6
[2, 2, 13]	13.13
[2, 2, 16]	13.3
[2, 2, 19]	11.54
[2, 2, 22]	17.07
[2, 2, 2]	12.35
[2, 2, 5]	15.5
[2, 2, 8]	11.38
[2, 3, 12]	12.23
[2, 3, 15]	12.62
[2, 3, 18]	11.53
[2, 3, 1]	12.46
[2, 3, 21]	12.49
[2, 3, 4]	15.1
[2, 3, 7]	10.98
[2, 4, 0]	13.24
[2, 4, 11]	12.85
[2, 4, 14]	13.84
[2, 4, 17]	12.78
[2, 4, 20]	12.18
[2, 4, 23]	13.15
[2, 4, 3]	13.32
[2, 4, 6]	12.9
[2, 4, 9]	12.28
[2, 5, 10]	10.76
[2, 5, 13]	11.61
[2, 5, 16]	12.08
[2, 5, 19]	11.65
[2, 5, 22]	12.16
